6131.540,12262.890,17'23'31'' 2017-08-02
6131.540,6133.164,17'24'08'' 2017-08-02
6131.540,12876.034,17'24'44'' 2017-08-02
6131.540,6131.372,17'25'20'' 2017-08-02
6131.540,12875.798,17'25'45'' 2017-08-02
6131.540,12262.996,17'26'22'' 2017-08-02
6131.540,12262.934,17'27'06'' 2017-08-02
570.000,571.980,14'26'21'' 2017-08-04
570.000,1880.942,14'26'26'' 2017-08-04
570.000,571.982,14'26'29'' 2017-08-04
570.000,571.992,14'26'32'' 2017-08-04
570.000,571.980,14'26'36'' 2017-08-04
570.000,571.990,14'26'39'' 2017-08-04
570.000,574.012,14'26'43'' 2017-08-04
570.000,1425.018,14'28'43'' 2017-08-04
570.000,1139.638,15'05'20'' 2017-08-04
570.000,573.282,15'05'54'' 2017-08-04
570.000,1196.842,15'16'09'' 2017-08-04
570.000,571.988,15'16'16'' 2017-08-04
570.000,571.980,15'16'23'' 2017-08-04
570.000,571.986,15'16'30'' 2017-08-04
570.000,571.988,15'16'36'' 2017-08-04
570.000,571.986,15'16'43'' 2017-08-04
570.000,571.982,15'16'50'' 2017-08-04
570.000,571.986,15'16'57'' 2017-08-04
570.000,571.990,15'17'04'' 2017-08-04
570.000,571.986,15'17'10'' 2017-08-04
570.000,571.978,15'17'17'' 2017-08-04
570.000,571.988,15'17'24'' 2017-08-04
570.000,571.996,15'17'31'' 2017-08-04
570.000,1823.842,15'22'58'' 2017-08-04
570.000,1139.760,15'24'22'' 2017-08-04
570.000,571.986,15'24'29'' 2017-08-04
570.000,571.990,15'24'36'' 2017-08-04
570.000,571.986,15'24'43'' 2017-08-04
570.000,571.994,15'24'49'' 2017-08-04
570.000,571.978,15'24'56'' 2017-08-04
570.000,571.984,15'25'03'' 2017-08-04
570.000,571.986,15'25'10'' 2017-08-04
570.000,1538.690,15'27'02'' 2017-08-04
570.000,571.986,15'27'08'' 2017-08-04
570.000,571.984,15'27'15'' 2017-08-04
570.000,571.994,15'27'22'' 2017-08-04
570.000,1310.960,15'30'08'' 2017-08-04
570.000,571.990,15'30'15'' 2017-08-04
570.000,571.990,17'10'35'' 2017-08-04
