首件确认,13'52'41'' 2017-07-15~13'54'53'' 2017-07-15,00D-00'02'12'',13'54'53'' 2017-07-15
首件确认,13'55'00'' 2017-07-15~13'55'14'' 2017-07-15,00D-00'00'14'',13'55'14'' 2017-07-15
首件确认,13'55'41'' 2017-07-15~14'17'14'' 2017-07-15,00D-00'21'33'',14'17'14'' 2017-07-15
首件确认,14'17'42'' 2017-07-15~14'17'45'' 2017-07-15,00D-00'00'03'',14'17'45'' 2017-07-15
首件确认,11'06'31'' 2017-07-16~11'23'39'' 2017-07-16,00D-00'17'08'',11'23'39'' 2017-07-16
首件确认,11'24'09'' 2017-07-16~11'25'17'' 2017-07-16,00D-00'01'08'',11'25'17'' 2017-07-16
首件确认,11'25'30'' 2017-07-16~11'26'06'' 2017-07-16,00D-00'00'36'',11'26'06'' 2017-07-16
首件确认,11'26'40'' 2017-07-16~11'29'53'' 2017-07-16,00D-00'03'13'',11'29'53'' 2017-07-16
首件确认,11'30'48'' 2017-07-16~11'31'51'' 2017-07-16,00D-00'01'03'',11'31'51'' 2017-07-16
首件确认,11'32'12'' 2017-07-16~11'36'01'' 2017-07-16,00D-00'03'49'',11'36'01'' 2017-07-16
首件确认,11'39'10'' 2017-07-16~11'40'26'' 2017-07-16,00D-00'01'16'',11'40'26'' 2017-07-16
首件确认,11'40'56'' 2017-07-16~11'43'54'' 2017-07-16,00D-00'02'58'',11'43'54'' 2017-07-16
首件确认,11'44'45'' 2017-07-16~11'46'05'' 2017-07-16,00D-00'01'20'',11'46'05'' 2017-07-16
首件确认,11'46'43'' 2017-07-16~11'47'45'' 2017-07-16,00D-00'01'02'',11'47'45'' 2017-07-16
首件确认,13'57'52'' 2017-07-16~14'18'39'' 2017-07-16,00D-00'20'47'',14'18'39'' 2017-07-16
首件确认,14'19'41'' 2017-07-16~14'20'04'' 2017-07-16,00D-00'00'23'',14'20'04'' 2017-07-16
首件确认,14'20'14'' 2017-07-16~14'20'48'' 2017-07-16,00D-00'00'34'',14'20'48'' 2017-07-16
其他类异常,09'45'18'' 2017-07-17~09'54'24'' 2017-07-17,00D-00'09'06'',09'54'24'' 2017-07-17
其他类异常,09'54'34'' 2017-07-17~09'55'30'' 2017-07-17,00D-00'00'56'',09'55'30'' 2017-07-17
其他类异常,09'56'10'' 2017-07-17~09'56'35'' 2017-07-17,00D-00'00'25'',09'56'35'' 2017-07-17
其他类异常,09'57'01'' 2017-07-17~09'58'39'' 2017-07-17,00D-00'01'38'',09'58'39'' 2017-07-17
其他类异常,09'59'18'' 2017-07-17~10'07'07'' 2017-07-17,00D-00'07'49'',10'07'07'' 2017-07-17
其他类异常,10'07'35'' 2017-07-17~10'08'46'' 2017-07-17,00D-00'01'11'',10'08'46'' 2017-07-17
其他类异常,10'09'20'' 2017-07-17~10'11'26'' 2017-07-17,00D-00'02'06'',10'11'26'' 2017-07-17
其他类异常,10'12'01'' 2017-07-17~10'14'31'' 2017-07-17,00D-00'02'30'',10'14'31'' 2017-07-17
其他类异常,10'15'25'' 2017-07-17~10'17'26'' 2017-07-17,00D-00'02'01'',10'17'26'' 2017-07-17
其他类异常,10'18'09'' 2017-07-17~10'35'07'' 2017-07-17,00D-00'16'58'',10'35'07'' 2017-07-17
其他类异常,10'35'27'' 2017-07-17~10'50'27'' 2017-07-17,00D-00'15'00'',10'50'27'' 2017-07-17
其他类异常,10'50'31'' 2017-07-17~10'57'25'' 2017-07-17,00D-00'06'54'',10'57'25'' 2017-07-17
其他类异常,10'57'58'' 2017-07-17~10'59'24'' 2017-07-17,00D-00'01'26'',10'59'24'' 2017-07-17
其他类异常,11'01'12'' 2017-07-17~11'21'56'' 2017-07-17,00D-00'20'44'',11'21'56'' 2017-07-17
其他类异常,11'22'33'' 2017-07-17~11'26'31'' 2017-07-17,00D-00'03'58'',11'26'31'' 2017-07-17
其他类异常,11'27'07'' 2017-07-17~11'27'53'' 2017-07-17,00D-00'00'46'',11'27'53'' 2017-07-17
其他类异常,11'28'17'' 2017-07-17~11'32'19'' 2017-07-17,00D-00'04'02'',11'32'19'' 2017-07-17
其他类异常,11'32'36'' 2017-07-17~13'37'18'' 2017-07-17,00D-02'04'42'',13'37'18'' 2017-07-17
其他类异常,13'37'41'' 2017-07-17~13'40'17'' 2017-07-17,00D-00'02'36'',13'40'17'' 2017-07-17
其他类异常,13'40'52'' 2017-07-17~13'44'47'' 2017-07-17,00D-00'03'55'',13'44'47'' 2017-07-17
其他类异常,13'45'20'' 2017-07-17~13'47'11'' 2017-07-17,00D-00'01'51'',13'47'11'' 2017-07-17
其他类异常,13'47'37'' 2017-07-17~13'49'15'' 2017-07-17,00D-00'01'38'',13'49'15'' 2017-07-17
其他类异常,13'49'49'' 2017-07-17~13'52'02'' 2017-07-17,00D-00'02'13'',13'52'02'' 2017-07-17
其他类异常,13'52'40'' 2017-07-17~13'54'13'' 2017-07-17,00D-00'01'33'',13'54'13'' 2017-07-17
其他类异常,13'54'35'' 2017-07-17~13'56'17'' 2017-07-17,00D-00'01'42'',13'56'17'' 2017-07-17
其他类异常,13'58'09'' 2017-07-17~14'00'26'' 2017-07-17,00D-00'02'17'',14'00'26'' 2017-07-17
其他类异常,14'01'08'' 2017-07-17~14'49'59'' 2017-07-17,00D-00'48'51'',14'49'59'' 2017-07-17
其他类异常,14'50'39'' 2017-07-17~15'05'34'' 2017-07-17,00D-00'14'55'',15'05'34'' 2017-07-17
其他类异常,15'06'08'' 2017-07-17~15'07'34'' 2017-07-17,00D-00'01'26'',15'07'34'' 2017-07-17
其他类异常,15'08'17'' 2017-07-17~15'09'41'' 2017-07-17,00D-00'01'24'',15'09'41'' 2017-07-17
其他类异常,15'12'37'' 2017-07-17~15'20'01'' 2017-07-17,00D-00'07'24'',15'20'01'' 2017-07-17
其他类异常,15'20'34'' 2017-07-17~15'22'50'' 2017-07-17,00D-00'02'16'',15'22'50'' 2017-07-17
其他类异常,15'23'28'' 2017-07-17~15'24'41'' 2017-07-17,00D-00'01'13'',15'24'41'' 2017-07-17
首件确认,15'25'22'' 2017-07-17~15'27'57'' 2017-07-17,00D-00'02'35'',15'27'57'' 2017-07-17
首件确认,15'28'28'' 2017-07-17~15'30'04'' 2017-07-17,00D-00'01'36'',15'30'04'' 2017-07-17
首件确认,15'30'29'' 2017-07-17~15'31'56'' 2017-07-17,00D-00'01'27'',15'31'56'' 2017-07-17
首件确认,15'32'35'' 2017-07-17~15'36'30'' 2017-07-17,00D-00'03'55'',15'36'30'' 2017-07-17
首件确认,15'37'09'' 2017-07-17~15'40'22'' 2017-07-17,00D-00'03'13'',15'40'22'' 2017-07-17
其他类异常,15'57'41'' 2017-07-17~15'58'48'' 2017-07-17,00D-00'01'07'',15'58'48'' 2017-07-17
其他类异常,16'00'11'' 2017-07-17~16'01'35'' 2017-07-17,00D-00'01'24'',16'01'35'' 2017-07-17
其他类异常,16'25'26'' 2017-07-17~16'28'45'' 2017-07-17,00D-00'03'19'',16'28'45'' 2017-07-17
其他类异常,16'30'12'' 2017-07-17~16'31'50'' 2017-07-17,00D-00'01'38'',16'31'50'' 2017-07-17
其他类异常,16'32'46'' 2017-07-17~16'34'03'' 2017-07-17,00D-00'01'17'',16'34'03'' 2017-07-17
其他类异常,16'50'26'' 2017-07-17~16'52'04'' 2017-07-17,00D-00'01'38'',16'52'04'' 2017-07-17
其他类异常,16'52'40'' 2017-07-17~16'55'25'' 2017-07-17,00D-00'02'45'',16'55'25'' 2017-07-17
其他类异常,16'56'00'' 2017-07-17~16'58'02'' 2017-07-17,00D-00'02'02'',16'58'02'' 2017-07-17
其他类异常,16'58'32'' 2017-07-17~16'59'39'' 2017-07-17,00D-00'01'07'',16'59'39'' 2017-07-17
其他类异常,17'00'19'' 2017-07-17~17'03'20'' 2017-07-17,00D-00'03'01'',17'03'20'' 2017-07-17
其他类异常,17'04'01'' 2017-07-17~17'05'21'' 2017-07-17,00D-00'01'20'',17'05'21'' 2017-07-17
其他类异常,17'07'04'' 2017-07-17~17'30'23'' 2017-07-17,00D-00'23'19'',17'30'23'' 2017-07-17
其他类异常,17'47'28'' 2017-07-17~17'47'42'' 2017-07-17,00D-00'00'14'',17'47'42'' 2017-07-17
其他类异常,17'48'02'' 2017-07-17~17'48'56'' 2017-07-17,00D-00'00'54'',17'48'56'' 2017-07-17
